id,dice,iou
BraTS20_Training_186_axial_040,0.011665,0.005875
BraTS20_Training_186_axial_041,0.015849,0.007995
BraTS20_Training_186_axial_042,0.018908,0.009552
BraTS20_Training_186_axial_043,0.024194,0.012253
BraTS20_Training_186_axial_044,0.030133,0.015304
BraTS20_Training_186_axial_045,0.035565,0.018112
BraTS20_Training_186_axial_046,0.041143,0.021011
BraTS20_Training_186_axial_047,0.046369,0.023742
BraTS20_Training_186_axial_048,0.053333,0.027404
BraTS20_Training_186_axial_049,0.058207,0.029983
BraTS20_Training_186_axial_050,0.061595,0.031784
BraTS20_Training_186_axial_051,0.063886,0.033004
BraTS20_Training_186_axial_052,0.067312,0.034835
BraTS20_Training_186_axial_053,0.071094,0.036865
BraTS20_Training_186_axial_054,0.075795,0.039398
BraTS20_Training_186_axial_055,0.082943,0.043273
BraTS20_Training_186_axial_056,0.087670,0.045852
BraTS20_Training_186_axial_057,0.091735,0.048080
BraTS20_Training_186_axial_058,0.095257,0.050018
BraTS20_Training_186_axial_059,0.099345,0.052276
BraTS20_Training_186_axial_060,0.102344,0.053939
BraTS20_Training_186_axial_061,0.104128,0.054931
BraTS20_Training_186_axial_062,0.102289,0.053908
BraTS20_Training_186_axial_063,0.100226,0.052764
BraTS20_Training_186_axial_064,0.096944,0.050948
BraTS20_Training_186_axial_065,0.094509,0.049606
BraTS20_Training_186_axial_066,0.093456,0.049026
BraTS20_Training_186_axial_067,0.091402,0.047897
BraTS20_Training_186_axial_068,0.091763,0.048095
BraTS20_Training_186_axial_069,0.093733,0.049178
BraTS20_Training_186_axial_070,0.094786,0.049758
BraTS20_Training_186_axial_071,0.096971,0.050964
BraTS20_Training_186_axial_072,0.099400,0.052306
BraTS20_Training_186_axial_073,0.102729,0.054153
BraTS20_Training_186_axial_074,0.104731,0.055266
BraTS20_Training_186_axial_075,0.106183,0.056075
BraTS20_Training_186_axial_076,0.107659,0.056899
BraTS20_Training_186_axial_077,0.107905,0.057036
BraTS20_Training_186_axial_078,0.107686,0.056914
BraTS20_Training_186_axial_079,0.105498,0.055694
BraTS20_Training_186_axial_080,0.101492,0.053466
BraTS20_Training_186_axial_081,0.096280,0.050582
BraTS20_Training_186_axial_082,0.091846,0.048141
BraTS20_Training_186_axial_083,0.086274,0.045089
BraTS20_Training_186_axial_084,0.078278,0.040740
BraTS20_Training_186_axial_085,0.070725,0.036666
BraTS20_Training_186_axial_086,0.063628,0.032867
BraTS20_Training_186_axial_087,0.060333,0.031112
BraTS20_Training_186_axial_088,0.056969,0.029327
BraTS20_Training_186_axial_089,0.054893,0.028228
BraTS20_Training_186_axial_090,0.052320,0.026870
BraTS20_Training_186_axial_091,0.049073,0.025161
BraTS20_Training_186_axial_092,0.045495,0.023285
BraTS20_Training_186_axial_093,0.041845,0.021377
BraTS20_Training_186_axial_094,0.038299,0.019531
BraTS20_Training_186_axial_095,0.032291,0.016418
BraTS20_Training_186_axial_096,0.028355,0.014389
BraTS20_Training_186_axial_097,0.025266,0.012802
BraTS20_Training_186_axial_098,0.024194,0.012253
BraTS20_Training_186_axial_099,0.022256,0.011261
BraTS20_Training_186_axial_100,0.020015,0.010116
BraTS20_Training_186_axial_101,0.017320,0.008743
BraTS20_Training_186_axial_102,0.013022,0.006561
BraTS20_Training_186_axial_103,0.005524,0.002777
BraTS20_Training_186_axial_104,0.000869,0.000442
BraTS20_Training_194_axial_038,0.000656,0.000336
BraTS20_Training_194_axial_039,0.002058,0.001038
BraTS20_Training_194_axial_040,0.004825,0.002426
BraTS20_Training_194_axial_041,0.008917,0.004486
BraTS20_Training_194_axial_042,0.015188,0.007660
BraTS20_Training_194_axial_043,0.023538,0.011917
BraTS20_Training_194_axial_044,0.030695,0.015594
